internet_usage_frequency,device_preferences,social_media_platforms,website_types_visited,app_usage_patterns,e-commerce_activity,digital_payment_usage,online_content_creation,newsletter_subscription,online_forum_participation,privacy_settings_used,online_reviews_activity,live_streaming_engagement,online_spending_trends,digital_communication_channels
Occasionally,Smartphone,Twitter,Social,Rare,Low,Rare,None,No,None,Moderate,Rare,Frequent,>$500,Email
Occasionally,Desktop,Facebook,News,Moderate,Low,Frequent,Moderate,Yes,Occasional,Moderate,Occasional,Rare,<$50,Social Media
Occasionally,Desktop,LinkedIn,Educational,Frequent,Moderate,Occasional,Frequent,Yes,None,Low,Occasional,Occasional,>$500,Messaging Apps
Occasionally,Smartphone,Twitter,News,Frequent,Moderate,Rare,Frequent,No,Occasional,Low,Occasional,Occasional,<$50,Video Calls
Weekly,Tablet,TikTok,Social,Rare,Moderate,Rare,Frequent,No,None,Moderate,Rare,Rare,<$50,Social Media
Daily,Smartphone,Facebook,Social,Frequent,Moderate,Frequent,None,Yes,Occasional,Moderate,Rare,Frequent,<$50,Video Calls
Daily,Tablet,Facebook,Entertainment,Rare,Low,Occasional,None,No,Active,Low,Occasional,Occasional,$200-$500,Social Media
Daily,Smartphone,Facebook,Social,Moderate,Moderate,Occasional,Frequent,Yes,Occasional,Moderate,Rare,Occasional,$50-$200,Video Calls
Weekly,Smartphone,Instagram,E-commerce,Frequent,Low,Rare,Frequent,No,Active,Moderate,Rare,Rare,<$50,Email
Occasionally,Laptop,Twitter,News,Frequent,Moderate,Occasional,None,No,Occasional,High,Occasional,Frequent,$200-$500,Social Media
Daily,Tablet,Facebook,Educational,Rare,High,Rare,None,Yes,None,Low,Occasional,Frequent,$50-$200,Messaging Apps
Weekly,Laptop,Instagram,Educational,Frequent,Moderate,Rare,Moderate,No,Occasional,Moderate,Rare,Frequent,>$500,Messaging Apps
Occasionally,Tablet,Facebook,Entertainment,Rare,Low,Occasional,Moderate,Yes,Active,Low,Rare,Frequent,>$500,Email
Weekly,Desktop,TikTok,E-commerce,Moderate,Low,Occasional,None,Yes,None,Moderate,Occasional,Occasional,>$500,Email
Daily,Desktop,Facebook,Social,Frequent,Low,Occasional,None,No,None,High,Occasional,Frequent,$200-$500,Video Calls
Occasionally,Smartphone,LinkedIn,Social,Frequent,High,Frequent,Frequent,Yes,Occasional,Moderate,Frequent,Frequent,$200-$500,Email
Occasionally,Smartphone,Twitter,Educational,Rare,High,Occasional,None,Yes,Active,Moderate,Rare,Occasional,<$50,Email
Occasionally,Laptop,TikTok,Educational,Rare,Moderate,Occasional,None,No,Occasional,High,Rare,Occasional,$50-$200,Video Calls
Daily,Smartphone,LinkedIn,News,Moderate,High,Occasional,Moderate,Yes,Occasional,Low,Occasional,Frequent,<$50,Social Media
Daily,Smartphone,Twitter,Social,Moderate,Moderate,Occasional,Moderate,Yes,Active,Low,Frequent,Rare,<$50,Video Calls
Weekly,Desktop,LinkedIn,Educational,Frequent,Moderate,Rare,None,No,None,Low,Occasional,Occasional,<$50,Email
Weekly,Laptop,Twitter,Entertainment,Rare,High,Frequent,None,Yes,Occasional,Low,Frequent,Frequent,>$500,Messaging Apps
Weekly,Tablet,TikTok,News,Frequent,High,Frequent,None,Yes,Active,Low,Rare,Rare,$200-$500,Social Media
Occasionally,Laptop,Facebook,Social,Rare,Moderate,Frequent,Moderate,Yes,None,Low,Frequent,Occasional,<$50,Email
Occasionally,Laptop,Facebook,Social,Rare,Low,Rare,None,Yes,None,Low,Rare,Occasional,<$50,Social Media
Daily,Smartphone,TikTok,Educational,Frequent,High,Occasional,Frequent,Yes,Occasional,Moderate,Occasional,Frequent,<$50,Video Calls
Daily,Desktop,TikTok,Social,Moderate,High,Frequent,None,Yes,None,Moderate,Frequent,Frequent,$50-$200,Video Calls
Daily,Tablet,Twitter,News,Moderate,Moderate,Frequent,Moderate,No,Occasional,High,Occasional,Frequent,$50-$200,Video Calls
Occasionally,Smartphone,TikTok,Entertainment,Rare,Moderate,Occasional,Frequent,No,Occasional,High,Occasional,Frequent,$200-$500,Social Media
Occasionally,Laptop,Instagram,E-commerce,Frequent,Moderate,Occasional,Frequent,Yes,None,Moderate,Occasional,Frequent,$50-$200,Messaging Apps
Daily,Smartphone,TikTok,Social,Moderate,Moderate,Occasional,Frequent,Yes,Active,Moderate,Frequent,Occasional,>$500,Video Calls
Occasionally,Desktop,Facebook,Entertainment,Rare,Moderate,Occasional,Frequent,Yes,Active,High,Rare,Occasional,>$500,Video Calls
Occasionally,Desktop,Instagram,Educational,Moderate,High,Occasional,Moderate,No,Active,Moderate,Occasional,Occasional,$50-$200,Social Media
Occasionally,Tablet,Twitter,E-commerce,Rare,Low,Rare,Moderate,No,Active,High,Rare,Rare,$50-$200,Messaging Apps
Weekly,Desktop,TikTok,News,Rare,Low,Occasional,Moderate,Yes,Active,Low,Rare,Frequent,<$50,Messaging Apps
Weekly,Smartphone,Facebook,Social,Frequent,Moderate,Rare,None,Yes,Occasional,Moderate,Occasional,Rare,$50-$200,Email
Weekly,Tablet,TikTok,Entertainment,Frequent,High,Frequent,None,Yes,Occasional,Low,Frequent,Rare,$200-$500,Video Calls
Occasionally,Smartphone,TikTok,News,Moderate,High,Frequent,Moderate,Yes,None,Moderate,Rare,Occasional,>$500,Social Media
Occasionally,Desktop,LinkedIn,Entertainment,Frequent,Moderate,Frequent,Frequent,No,Occasional,High,Frequent,Occasional,>$500,Email
Weekly,Desktop,Facebook,E-commerce,Moderate,High,Frequent,Frequent,Yes,None,Low,Frequent,Frequent,$200-$500,Messaging Apps
Weekly,Smartphone,Instagram,Educational,Rare,Moderate,Rare,Frequent,No,None,Moderate,Frequent,Occasional,$200-$500,Email
Occasionally,Desktop,Facebook,Social,Moderate,Moderate,Frequent,None,Yes,None,Low,Frequent,Frequent,>$500,Email
Daily,Laptop,Instagram,Social,Rare,Low,Rare,None,Yes,Active,Low,Rare,Rare,>$500,Messaging Apps
Occasionally,Desktop,Facebook,News,Rare,Low,Frequent,Moderate,No,Occasional,Moderate,Occasional,Rare,>$500,Social Media
Occasionally,Smartphone,Facebook,E-commerce,Frequent,High,Rare,None,No,None,High,Frequent,Occasional,>$500,Video Calls
Daily,Desktop,Facebook,News,Rare,Moderate,Rare,Frequent,No,None,Low,Rare,Rare,$50-$200,Messaging Apps
Daily,Desktop,Facebook,E-commerce,Moderate,High,Occasional,Frequent,No,Occasional,Low,Frequent,Occasional,<$50,Messaging Apps
Daily,Laptop,Twitter,E-commerce,Moderate,Moderate,Rare,Moderate,No,Active,High,Occasional,Occasional,>$500,Messaging Apps
Daily,Smartphone,LinkedIn,E-commerce,Moderate,Moderate,Rare,Frequent,No,Active,Moderate,Rare,Rare,$200-$500,Social Media
Weekly,Laptop,Instagram,E-commerce,Frequent,High,Frequent,None,No,Active,High,Occasional,Frequent,$200-$500,Email
Weekly,Desktop,Twitter,News,Frequent,Low,Frequent,Frequent,No,None,High,Rare,Rare,>$500,Social Media
Occasionally,Laptop,TikTok,Entertainment,Moderate,Moderate,Rare,Frequent,Yes,Active,Moderate,Rare,Occasional,$200-$500,Video Calls
Occasionally,Smartphone,Facebook,E-commerce,Rare,Low,Rare,Moderate,Yes,None,Moderate,Occasional,Rare,>$500,Email
Daily,Smartphone,Facebook,Educational,Moderate,Low,Frequent,None,Yes,Active,High,Frequent,Frequent,$200-$500,Video Calls
Daily,Desktop,TikTok,News,Rare,Low,Occasional,None,Yes,Active,Moderate,Occasional,Occasional,$200-$500,Video Calls
Weekly,Desktop,Twitter,E-commerce,Moderate,High,Occasional,Moderate,No,None,Low,Occasional,Rare,$50-$200,Email
Occasionally,Laptop,LinkedIn,Entertainment,Rare,Moderate,Frequent,None,No,None,Moderate,Rare,Occasional,>$500,Messaging Apps
Weekly,Desktop,Twitter,Entertainment,Frequent,High,Occasional,Moderate,Yes,Active,Low,Occasional,Rare,>$500,Video Calls
Weekly,Laptop,LinkedIn,Social,Rare,Moderate,Rare,None,No,Occasional,Moderate,Rare,Frequent,<$50,Social Media
Occasionally,Desktop,TikTok,Entertainment,Frequent,Low,Frequent,None,No,Active,High,Occasional,Frequent,<$50,Email
Weekly,Laptop,Instagram,News,Rare,Low,Occasional,Frequent,Yes,Occasional,Moderate,Rare,Rare,$200-$500,Social Media
Occasionally,Smartphone,Facebook,Entertainment,Rare,High,Frequent,Frequent,No,Active,Moderate,Frequent,Frequent,>$500,Email
Weekly,Smartphone,LinkedIn,Entertainment,Moderate,Low,Occasional,Moderate,Yes,Occasional,Low,Rare,Rare,>$500,Email
Daily,Laptop,Twitter,News,Moderate,Low,Occasional,None,No,None,High,Rare,Frequent,>$500,Messaging Apps
Weekly,Smartphone,Twitter,Educational,Moderate,Moderate,Rare,None,Yes,Active,Moderate,Occasional,Frequent,$50-$200,Messaging Apps
Daily,Laptop,Twitter,E-commerce,Moderate,High,Frequent,Frequent,Yes,Active,High,Frequent,Rare,$200-$500,Video Calls
Daily,Tablet,LinkedIn,News,Frequent,High,Rare,None,Yes,Active,High,Occasional,Frequent,>$500,Messaging Apps
Occasionally,Smartphone,TikTok,News,Rare,High,Occasional,None,No,Occasional,High,Occasional,Rare,$200-$500,Messaging Apps
Weekly,Smartphone,Instagram,E-commerce,Frequent,Low,Occasional,Moderate,Yes,Occasional,High,Frequent,Frequent,$200-$500,Messaging Apps
Weekly,Tablet,Instagram,E-commerce,Frequent,Low,Occasional,None,Yes,Active,Moderate,Occasional,Rare,<$50,Video Calls
Weekly,Desktop,Instagram,Educational,Moderate,High,Occasional,Frequent,No,None,Low,Rare,Rare,$50-$200,Email
Weekly,Laptop,Facebook,Social,Frequent,Low,Frequent,Moderate,Yes,Occasional,Moderate,Rare,Frequent,$50-$200,Social Media
Weekly,Tablet,TikTok,Entertainment,Frequent,Low,Rare,Moderate,No,None,High,Frequent,Rare,<$50,Video Calls
Occasionally,Laptop,Instagram,E-commerce,Rare,High,Rare,Moderate,No,Active,Moderate,Frequent,Frequent,$50-$200,Social Media
Occasionally,Smartphone,TikTok,Entertainment,Rare,High,Frequent,Moderate,Yes,None,Low,Rare,Occasional,$50-$200,Messaging Apps
Occasionally,Smartphone,Twitter,News,Frequent,Low,Frequent,None,Yes,Active,Moderate,Frequent,Frequent,$50-$200,Email
Daily,Laptop,Facebook,Social,Moderate,High,Frequent,Frequent,No,None,Low,Frequent,Rare,>$500,Social Media
Daily,Smartphone,TikTok,Social,Frequent,Moderate,Occasional,Moderate,No,Occasional,Moderate,Occasional,Occasional,$50-$200,Video Calls
Occasionally,Tablet,LinkedIn,News,Frequent,High,Occasional,Moderate,No,Occasional,High,Occasional,Rare,>$500,Social Media
Weekly,Desktop,Facebook,Social,Moderate,Moderate,Occasional,Frequent,Yes,Active,Moderate,Occasional,Occasional,<$50,Messaging Apps
Daily,Smartphone,Instagram,E-commerce,Rare,Low,Rare,Moderate,No,Active,Low,Rare,Occasional,$50-$200,Social Media
Daily,Desktop,TikTok,E-commerce,Moderate,Low,Frequent,Frequent,No,Occasional,High,Rare,Rare,$50-$200,Messaging Apps
Daily,Laptop,Twitter,News,Frequent,High,Rare,Moderate,Yes,Active,Moderate,Rare,Occasional,<$50,Video Calls
Weekly,Smartphone,LinkedIn,Educational,Rare,Moderate,Rare,Frequent,Yes,Active,Moderate,Occasional,Occasional,$50-$200,Email
Occasionally,Smartphone,Instagram,Educational,Frequent,High,Occasional,None,Yes,Active,Moderate,Occasional,Frequent,>$500,Email
Occasionally,Desktop,Twitter,E-commerce,Frequent,Low,Frequent,Frequent,No,None,Low,Frequent,Frequent,$200-$500,Messaging Apps
Weekly,Smartphone,Instagram,Social,Frequent,Low,Frequent,None,Yes,Active,Low,Occasional,Occasional,>$500,Messaging Apps
Daily,Laptop,TikTok,E-commerce,Moderate,High,Rare,Moderate,No,None,High,Occasional,Frequent,>$500,Video Calls
Daily,Tablet,Twitter,Social,Moderate,Low,Frequent,None,No,Active,Low,Occasional,Frequent,$50-$200,Messaging Apps
Daily,Tablet,Instagram,Entertainment,Moderate,High,Occasional,None,No,Occasional,Low,Occasional,Occasional,>$500,Social Media
Daily,Laptop,Twitter,Educational,Frequent,Low,Occasional,Moderate,No,Occasional,Moderate,Frequent,Frequent,>$500,Messaging Apps
Occasionally,Tablet,Facebook,Educational,Rare,Moderate,Frequent,Moderate,Yes,None,High,Occasional,Rare,<$50,Video Calls
Daily,Desktop,Facebook,E-commerce,Moderate,Moderate,Frequent,None,No,Occasional,High,Rare,Occasional,<$50,Email
Weekly,Smartphone,LinkedIn,Entertainment,Rare,Low,Rare,Frequent,Yes,Occasional,High,Frequent,Frequent,$200-$500,Messaging Apps
Daily,Smartphone,Instagram,E-commerce,Frequent,Moderate,Frequent,Moderate,No,None,Moderate,Frequent,Frequent,$200-$500,Messaging Apps
Daily,Tablet,Twitter,E-commerce,Moderate,Low,Rare,Frequent,Yes,Active,Moderate,Rare,Rare,$200-$500,Email
Weekly,Tablet,LinkedIn,Entertainment,Rare,High,Occasional,Moderate,Yes,Active,Moderate,Frequent,Frequent,$200-$500,Video Calls
Occasionally,Desktop,Facebook,E-commerce,Frequent,Low,Rare,Frequent,Yes,None,High,Rare,Rare,$200-$500,Messaging Apps
Daily,Smartphone,Facebook,E-commerce,Frequent,Moderate,Frequent,None,Yes,Occasional,Low,Rare,Rare,$50-$200,Messaging Apps
Weekly,Laptop,Twitter,News,Rare,Low,Frequent,Frequent,Yes,Occasional,Low,Occasional,Rare,<$50,Video Calls
Daily,Desktop,Twitter,News,Moderate,Low,Occasional,Frequent,Yes,Occasional,High,Rare,Occasional,$200-$500,Email
Daily,Laptop,Instagram,Educational,Rare,High,Rare,Moderate,Yes,Active,Moderate,Rare,Occasional,$200-$500,Social Media
Daily,Laptop,Instagram,News,Moderate,Moderate,Rare,Moderate,No,Occasional,High,Occasional,Occasional,$200-$500,Email
Daily,Tablet,Facebook,Social,Frequent,High,Frequent,None,Yes,Occasional,Low,Occasional,Occasional,$200-$500,Video Calls
Daily,Laptop,LinkedIn,E-commerce,Moderate,Low,Rare,Moderate,Yes,Occasional,Moderate,Frequent,Frequent,>$500,Social Media
Weekly,Laptop,Instagram,Social,Rare,High,Rare,Frequent,No,None,High,Occasional,Rare,$200-$500,Social Media
Daily,Smartphone,TikTok,Educational,Frequent,High,Rare,Moderate,No,Occasional,Low,Rare,Rare,>$500,Social Media
Daily,Tablet,TikTok,Educational,Moderate,High,Rare,Frequent,No,Active,Moderate,Rare,Rare,>$500,Email
Daily,Laptop,Instagram,Educational,Frequent,Low,Frequent,Moderate,Yes,None,Moderate,Occasional,Rare,$50-$200,Email
Daily,Smartphone,Twitter,Entertainment,Rare,Low,Rare,None,Yes,Occasional,Low,Frequent,Frequent,>$500,Video Calls
Weekly,Laptop,LinkedIn,E-commerce,Frequent,High,Frequent,None,Yes,None,High,Frequent,Rare,$200-$500,Email
Occasionally,Tablet,TikTok,Entertainment,Rare,Low,Frequent,Moderate,Yes,Occasional,Low,Rare,Rare,<$50,Social Media
Occasionally,Desktop,Facebook,Educational,Rare,Low,Rare,None,Yes,None,High,Occasional,Frequent,<$50,Video Calls
Weekly,Desktop,Twitter,Educational,Moderate,Moderate,Frequent,None,No,Occasional,Low,Frequent,Frequent,$50-$200,Messaging Apps
Weekly,Laptop,LinkedIn,Educational,Rare,Low,Occasional,None,No,Occasional,High,Occasional,Rare,$50-$200,Social Media
Occasionally,Tablet,TikTok,Entertainment,Frequent,Moderate,Rare,Moderate,Yes,None,Low,Frequent,Frequent,>$500,Messaging Apps
Daily,Tablet,TikTok,E-commerce,Moderate,Moderate,Frequent,Frequent,Yes,Active,Moderate,Rare,Occasional,<$50,Social Media
Occasionally,Laptop,TikTok,Social,Frequent,Moderate,Occasional,Moderate,Yes,Active,Low,Rare,Rare,$50-$200,Messaging Apps
Daily,Laptop,Instagram,E-commerce,Moderate,Low,Rare,Moderate,Yes,None,Moderate,Rare,Rare,$50-$200,Messaging Apps
Daily,Desktop,TikTok,News,Rare,High,Frequent,Moderate,Yes,None,Moderate,Occasional,Frequent,$50-$200,Email
Occasionally,Tablet,Instagram,News,Frequent,Moderate,Occasional,None,Yes,Active,Moderate,Rare,Frequent,<$50,Email
Daily,Smartphone,LinkedIn,News,Moderate,High,Rare,Frequent,Yes,Occasional,High,Occasional,Frequent,<$50,Messaging Apps
Daily,Smartphone,Instagram,E-commerce,Frequent,Low,Rare,Frequent,Yes,None,Low,Frequent,Occasional,$200-$500,Messaging Apps
Daily,Desktop,Instagram,Social,Rare,Low,Occasional,Moderate,Yes,None,Low,Frequent,Rare,$50-$200,Email
Weekly,Tablet,LinkedIn,E-commerce,Frequent,Low,Occasional,None,No,Occasional,High,Frequent,Frequent,$50-$200,Social Media
Weekly,Desktop,Facebook,E-commerce,Moderate,Moderate,Rare,Moderate,Yes,None,High,Rare,Occasional,<$50,Social Media
Occasionally,Smartphone,LinkedIn,Entertainment,Moderate,Moderate,Occasional,None,Yes,Occasional,Low,Frequent,Frequent,$200-$500,Video Calls
Weekly,Laptop,LinkedIn,Social,Frequent,High,Occasional,Moderate,Yes,None,Low,Frequent,Occasional,<$50,Video Calls
Occasionally,Laptop,Facebook,Entertainment,Moderate,Low,Frequent,Moderate,No,Active,Moderate,Rare,Frequent,<$50,Messaging Apps
Occasionally,Laptop,Instagram,Entertainment,Rare,High,Frequent,Moderate,Yes,Active,High,Rare,Rare,$200-$500,Messaging Apps
Weekly,Desktop,Twitter,Social,Rare,Low,Occasional,Moderate,Yes,None,Low,Occasional,Occasional,>$500,Video Calls
Weekly,Laptop,LinkedIn,News,Frequent,High,Occasional,Moderate,No,Active,Moderate,Frequent,Frequent,$200-$500,Messaging Apps
Weekly,Laptop,Facebook,Entertainment,Frequent,High,Rare,Frequent,No,Active,High,Rare,Frequent,$50-$200,Social Media
Weekly,Laptop,TikTok,Entertainment,Frequent,Moderate,Occasional,Moderate,No,Occasional,Moderate,Rare,Frequent,<$50,Video Calls
Weekly,Smartphone,TikTok,News,Rare,High,Rare,Moderate,No,Active,Moderate,Occasional,Rare,$50-$200,Video Calls
Occasionally,Smartphone,Instagram,Entertainment,Frequent,High,Occasional,Frequent,No,Active,Low,Rare,Frequent,$200-$500,Social Media
Weekly,Laptop,LinkedIn,Social,Rare,Low,Frequent,None,Yes,Occasional,High,Occasional,Frequent,>$500,Email
Occasionally,Laptop,TikTok,News,Frequent,High,Rare,Frequent,No,None,Moderate,Rare,Frequent,<$50,Email
Daily,Smartphone,LinkedIn,Entertainment,Rare,Moderate,Rare,Frequent,Yes,Active,Moderate,Frequent,Occasional,$200-$500,Email
Daily,Laptop,LinkedIn,News,Rare,Moderate,Rare,None,No,Occasional,Moderate,Occasional,Rare,<$50,Email
Occasionally,Tablet,Twitter,Social,Frequent,Low,Rare,None,Yes,None,Moderate,Frequent,Occasional,$50-$200,Video Calls
Weekly,Tablet,Twitter,Entertainment,Frequent,Moderate,Frequent,Frequent,No,Active,Low,Occasional,Frequent,$200-$500,Video Calls
Occasionally,Smartphone,Twitter,Educational,Frequent,High,Frequent,None,Yes,Occasional,Low,Frequent,Occasional,>$500,Messaging Apps
Weekly,Tablet,TikTok,News,Moderate,Low,Rare,Frequent,No,Active,High,Rare,Rare,$50-$200,Social Media
Daily,Desktop,LinkedIn,News,Moderate,Moderate,Rare,Moderate,No,Active,Moderate,Frequent,Occasional,<$50,Messaging Apps
Occasionally,Smartphone,Twitter,News,Moderate,High,Rare,Frequent,No,Occasional,Low,Occasional,Rare,$200-$500,Email
Weekly,Desktop,TikTok,Entertainment,Moderate,High,Frequent,None,Yes,Occasional,Low,Occasional,Rare,>$500,Email
Daily,Desktop,Facebook,Social,Moderate,High,Occasional,Frequent,No,None,High,Frequent,Frequent,$200-$500,Email
Daily,Desktop,LinkedIn,Social,Rare,Low,Rare,Frequent,No,Occasional,Moderate,Occasional,Occasional,$200-$500,Social Media
Occasionally,Desktop,Instagram,E-commerce,Frequent,High,Rare,Moderate,Yes,Occasional,Low,Rare,Occasional,$50-$200,Video Calls
Weekly,Tablet,TikTok,News,Moderate,Low,Occasional,None,No,None,Low,Rare,Rare,$200-$500,Email
Weekly,Smartphone,TikTok,Educational,Rare,High,Frequent,None,No,Active,Moderate,Rare,Rare,$50-$200,Messaging Apps
Daily,Laptop,Facebook,E-commerce,Frequent,High,Rare,Frequent,No,Occasional,High,Frequent,Rare,$50-$200,Messaging Apps
Daily,Smartphone,TikTok,News,Rare,Moderate,Frequent,None,No,None,Moderate,Rare,Occasional,>$500,Email
Occasionally,Desktop,TikTok,E-commerce,Frequent,High,Occasional,Moderate,No,Occasional,High,Frequent,Occasional,<$50,Social Media
Daily,Desktop,Instagram,Educational,Frequent,Low,Frequent,Moderate,No,None,Low,Rare,Frequent,<$50,Video Calls
Daily,Tablet,TikTok,Educational,Moderate,High,Occasional,Frequent,No,Active,Moderate,Frequent,Rare,<$50,Email
Occasionally,Laptop,LinkedIn,News,Frequent,Low,Rare,Frequent,No,Occasional,Moderate,Occasional,Frequent,<$50,Video Calls
Weekly,Laptop,TikTok,Entertainment,Moderate,Moderate,Occasional,None,No,None,High,Occasional,Frequent,<$50,Email
Daily,Tablet,Facebook,News,Frequent,High,Frequent,Frequent,No,Active,Moderate,Frequent,Frequent,$200-$500,Social Media
Daily,Desktop,LinkedIn,E-commerce,Moderate,Low,Frequent,None,No,Active,High,Rare,Frequent,<$50,Video Calls
Occasionally,Laptop,Instagram,E-commerce,Moderate,Moderate,Frequent,Moderate,No,Active,Moderate,Occasional,Rare,$200-$500,Social Media
Weekly,Desktop,Facebook,Educational,Frequent,High,Frequent,Moderate,No,None,High,Occasional,Occasional,<$50,Social Media
Weekly,Smartphone,TikTok,E-commerce,Frequent,Low,Occasional,None,No,Occasional,Moderate,Frequent,Rare,$50-$200,Social Media
Weekly,Tablet,LinkedIn,Educational,Moderate,High,Occasional,None,No,Active,Moderate,Rare,Occasional,$50-$200,Email
Occasionally,Smartphone,Facebook,Entertainment,Moderate,Low,Rare,Moderate,No,Occasional,Low,Rare,Rare,$50-$200,Video Calls
Occasionally,Laptop,Facebook,News,Moderate,Low,Rare,Moderate,Yes,Occasional,Moderate,Frequent,Occasional,<$50,Email
Weekly,Tablet,Facebook,Social,Rare,High,Rare,None,No,Occasional,Low,Frequent,Frequent,$200-$500,Messaging Apps
Weekly,Laptop,TikTok,E-commerce,Frequent,Low,Frequent,Frequent,Yes,Active,Low,Frequent,Rare,$50-$200,Social Media
Weekly,Laptop,Facebook,Educational,Moderate,Moderate,Frequent,Moderate,No,Occasional,Moderate,Occasional,Frequent,$50-$200,Messaging Apps
Occasionally,Smartphone,TikTok,News,Rare,Low,Occasional,Frequent,No,Active,Low,Occasional,Occasional,>$500,Messaging Apps
Occasionally,Laptop,Twitter,Entertainment,Rare,Moderate,Rare,Frequent,No,Occasional,High,Rare,Rare,$50-$200,Video Calls
Weekly,Desktop,Instagram,Entertainment,Rare,High,Frequent,Frequent,Yes,None,Low,Rare,Occasional,>$500,Email
Daily,Smartphone,Twitter,E-commerce,Frequent,Low,Frequent,None,No,Occasional,High,Occasional,Occasional,>$500,Email
Weekly,Laptop,LinkedIn,E-commerce,Rare,Low,Occasional,Moderate,Yes,Active,Moderate,Rare,Occasional,>$500,Messaging Apps
Occasionally,Smartphone,LinkedIn,Educational,Rare,High,Rare,None,No,Active,High,Occasional,Frequent,$200-$500,Email
Daily,Laptop,LinkedIn,Entertainment,Rare,Low,Occasional,Moderate,No,Active,Low,Frequent,Frequent,$200-$500,Social Media
Daily,Smartphone,Instagram,Social,Moderate,Low,Occasional,None,Yes,Active,High,Rare,Rare,$50-$200,Video Calls
Weekly,Tablet,Instagram,Educational,Moderate,Moderate,Occasional,None,Yes,None,High,Rare,Rare,$200-$500,Email
Occasionally,Desktop,Twitter,Social,Rare,Moderate,Rare,Moderate,No,None,Moderate,Rare,Occasional,<$50,Email
Daily,Laptop,TikTok,Entertainment,Rare,Moderate,Frequent,Moderate,Yes,Occasional,Moderate,Occasional,Occasional,$200-$500,Messaging Apps
Weekly,Desktop,LinkedIn,Entertainment,Rare,High,Frequent,Frequent,No,None,Low,Occasional,Occasional,>$500,Video Calls
Daily,Desktop,TikTok,News,Frequent,Low,Frequent,Frequent,Yes,Occasional,Low,Occasional,Rare,$50-$200,Email
Weekly,Tablet,TikTok,Entertainment,Moderate,High,Frequent,Frequent,Yes,Occasional,High,Rare,Rare,>$500,Video Calls
Weekly,Tablet,Facebook,E-commerce,Frequent,Low,Occasional,Moderate,No,Occasional,High,Occasional,Occasional,>$500,Messaging Apps
Occasionally,Desktop,Twitter,Social,Frequent,High,Frequent,Moderate,Yes,None,Low,Occasional,Rare,$200-$500,Email
Weekly,Desktop,Facebook,Entertainment,Frequent,High,Rare,None,No,None,Moderate,Rare,Rare,$50-$200,Messaging Apps
Weekly,Laptop,TikTok,E-commerce,Moderate,Low,Rare,None,No,None,High,Rare,Occasional,<$50,Video Calls
Daily,Desktop,TikTok,E-commerce,Frequent,Low,Occasional,Frequent,No,None,Moderate,Frequent,Rare,<$50,Video Calls
Daily,Smartphone,Facebook,News,Frequent,Low,Rare,Frequent,No,Active,Low,Occasional,Rare,$50-$200,Video Calls
Weekly,Desktop,LinkedIn,Entertainment,Moderate,Low,Rare,Moderate,Yes,Active,Low,Occasional,Occasional,<$50,Email
Weekly,Desktop,Facebook,E-commerce,Rare,Moderate,Rare,None,No,Occasional,High,Frequent,Rare,$200-$500,Social Media
Weekly,Laptop,Twitter,News,Frequent,High,Frequent,None,Yes,Active,High,Frequent,Occasional,>$500,Video Calls
Weekly,Tablet,LinkedIn,Entertainment,Rare,Moderate,Frequent,Moderate,Yes,Active,Moderate,Rare,Frequent,$50-$200,Video Calls
Daily,Smartphone,TikTok,Educational,Moderate,Low,Occasional,None,Yes,Active,High,Occasional,Rare,$200-$500,Email
Daily,Desktop,Instagram,Social,Frequent,High,Rare,None,No,None,High,Occasional,Rare,<$50,Video Calls
Occasionally,Desktop,Facebook,News,Rare,Moderate,Occasional,Moderate,No,Occasional,Low,Occasional,Occasional,<$50,Messaging Apps
Occasionally,Tablet,Facebook,News,Frequent,Low,Frequent,Frequent,No,Occasional,Moderate,Frequent,Occasional,>$500,Messaging Apps
Weekly,Smartphone,Instagram,Educational,Moderate,High,Frequent,Frequent,Yes,Active,High,Occasional,Frequent,>$500,Messaging Apps
Daily,Desktop,Twitter,Social,Frequent,High,Rare,None,No,None,Low,Rare,Frequent,>$500,Email
Occasionally,Tablet,LinkedIn,Social,Moderate,Low,Occasional,Frequent,No,Active,Moderate,Rare,Frequent,$50-$200,Social Media
Daily,Tablet,Instagram,Social,Moderate,Moderate,Frequent,None,No,None,High,Occasional,Rare,>$500,Social Media
Weekly,Smartphone,Instagram,Educational,Frequent,High,Occasional,Moderate,Yes,Occasional,Moderate,Rare,Frequent,>$500,Social Media
Occasionally,Laptop,Instagram,E-commerce,Rare,Moderate,Rare,None,No,Active,Moderate,Frequent,Frequent,<$50,Messaging Apps
Occasionally,Smartphone,Twitter,E-commerce,Frequent,Low,Rare,None,Yes,None,High,Occasional,Rare,$200-$500,Social Media
Weekly,Desktop,Instagram,Educational,Moderate,High,Occasional,Moderate,Yes,None,High,Rare,Frequent,<$50,Email
Daily,Laptop,LinkedIn,Entertainment,Frequent,Moderate,Occasional,Moderate,Yes,Active,High,Rare,Rare,$200-$500,Messaging Apps
Daily,Desktop,LinkedIn,E-commerce,Frequent,Moderate,Frequent,None,Yes,Occasional,High,Occasional,Frequent,<$50,Email
Daily,Laptop,Facebook,Educational,Frequent,Low,Rare,Moderate,No,Active,Low,Frequent,Frequent,$200-$500,Video Calls
Daily,Tablet,TikTok,Social,Moderate,Moderate,Occasional,None,Yes,None,High,Frequent,Occasional,<$50,Messaging Apps
